City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Grand Gaube,MU,79.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
3,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
6,Castro,BR,77.77,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
11,Rikitea,PF,79.02,broken clouds,-23.1203,-134.9692,People ThankYou
13,Port Alfred,ZA,75.65,clear sky,-33.5906,26.891,The Halyards Hotel
17,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
20,Yenagoa,NG,83.79,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
23,Tamandare,BR,84.85,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
27,Abong Mbang,CM,75.02,broken clouds,3.9833,13.1833,Auberge Angle Sur
28,Doume,CM,76.03,broken clouds,4.2333,13.45,Hotel Universel
35,Port Elizabeth,ZA,79.11,light rain,-33.918,25.5701,39 On Nile Guest House
37,Bac Lieu,VN,79.68,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
44,Cockburn Town,TC,80.56,few clouds,21.4612,-71.1419,Osprey Beach Hotel
45,Coihaique,CL,83.01,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
49,Wewak,PG,78.3,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
51,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
52,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
54,Trat,TH,83.98,scattered clouds,12.5,102.5,สวนหนิง-อัศ
55,Road Town,VG,75.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
56,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
58,Vao,NC,79.93,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
60,Manadhoo,MV,81.43,broken clouds,5.7667,73.3833,Bon Abri maldives
65,Kavieng,PG,81.23,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
71,Inongo,CD,78.62,broken clouds,-1.95,18.2667,Hotel Du Lac
78,Bengkulu,ID,76.42,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
79,Saint-Joseph,RE,77.38,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
81,Carnarvon,AU,75.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
82,Arraial Do Cabo,BR,89.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
83,Ferkessedougou,CI,89.53,clear sky,9.6,-5.2,Hotel Chateau
87,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
