City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ostrovnoy,RU,68.0531,39.5131,14.14,86,96,22.17,overcast clouds
1,Thompson,CA,55.7435,-97.8558,-11.04,64,20,4.61,few clouds
2,Grand Gaube,MU,-20.0064,57.6608,79.38,80,84,3.0,broken clouds
3,Alofi,NU,-19.0595,-169.9187,75.09,94,100,4.61,overcast clouds
4,Luderitz,NA,-26.6481,15.1594,68.59,75,16,4.94,few clouds
5,Lompoc,US,34.6391,-120.4579,73.09,44,0,5.75,clear sky
6,Castro,BR,-24.7911,-50.0119,77.77,66,68,7.36,broken clouds
7,Skibbereen,IE,51.55,-9.2667,51.12,82,94,19.37,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,39.47,99,4,2.01,clear sky
9,Albany,US,42.6001,-73.9662,27.82,50,18,4.0,few clouds
10,Husavik,IS,66.0449,-17.3389,24.71,78,100,9.93,light snow
11,Rikitea,PF,-23.1203,-134.9692,79.02,71,66,16.06,broken clouds
12,Ushuaia,AR,-54.8,-68.3,60.46,59,75,17.27,broken clouds
13,Port Alfred,ZA,-33.5906,26.891,75.65,81,0,27.47,clear sky
14,Fortuna,US,40.5982,-124.1573,55.74,80,0,6.91,clear sky
15,Hearst,CA,49.6835,-83.6665,12.45,91,100,5.97,light snow
16,Leningradskiy,RU,69.3833,178.4167,-22.81,98,33,6.08,scattered clouds
17,Georgetown,MY,5.4112,100.3354,78.73,93,40,0.0,scattered clouds
18,Baykit,RU,61.67,96.37,-8.23,100,96,2.82,overcast clouds
19,Angoram,PG,-4.0625,144.0661,74.52,98,100,1.23,light rain
20,Yenagoa,NG,4.9247,6.2642,83.79,59,3,10.02,clear sky
21,Thinadhoo,MV,0.5333,72.9333,82.72,70,33,12.17,scattered clouds
22,Cape Town,ZA,-33.9258,18.4232,70.09,68,20,5.75,few clouds
23,Tamandare,BR,-8.7597,-35.1047,84.85,59,96,11.79,overcast clouds
24,Hermanus,ZA,-34.4187,19.2345,68.9,84,12,9.35,few clouds
25,Glamoc,BA,44.0458,16.8486,35.4,99,86,8.34,overcast clouds
26,Hilo,US,19.7297,-155.09,69.24,96,100,5.75,moderate rain
27,Abong Mbang,CM,3.9833,13.1833,75.02,27,55,2.75,broken clouds
28,Doume,CM,4.2333,13.45,76.03,26,54,2.64,broken clouds
29,Qaanaaq,GL,77.484,-69.3632,-12.26,57,60,8.59,broken clouds
30,Fandriana,MG,-20.2333,47.3833,62.2,95,83,4.03,broken clouds
31,Yellowknife,CA,62.456,-114.3525,-6.59,87,75,12.66,light snow
32,Vestmannaeyjar,IS,63.4427,-20.2734,29.39,74,75,8.05,broken clouds
33,Ankang,CN,32.68,109.0172,30.06,93,100,1.36,overcast clouds
34,Busselton,AU,-33.65,115.3333,54.09,60,72,17.43,broken clouds
35,Port Elizabeth,ZA,-33.918,25.5701,79.11,88,20,17.27,light rain
36,Jamestown,US,42.097,-79.2353,33.53,29,0,13.8,clear sky
37,Bac Lieu,VN,9.285,105.7244,79.68,72,99,18.28,overcast clouds
38,Vanavara,RU,60.34,102.2797,-13.05,100,71,2.8,broken clouds
39,Dikson,RU,73.5069,80.5464,-20.88,99,82,9.37,broken clouds
40,Talnakh,RU,69.4865,88.3972,-25.67,98,64,2.24,broken clouds
41,Elizabeth City,US,36.2946,-76.2511,44.02,72,100,14.97,overcast clouds
42,Camopi,GF,3.1655,-52.3158,74.97,97,99,3.85,moderate rain
43,Tasiilaq,GL,65.6145,-37.6368,23.16,63,100,32.84,overcast clouds
44,Cockburn Town,TC,21.4612,-71.1419,80.56,44,20,14.97,few clouds
45,Coihaique,CL,-45.5752,-72.0662,83.01,41,20,8.05,few clouds
46,Mazara Del Vallo,IT,37.6641,12.588,57.0,74,100,10.92,overcast clouds
