City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Itaquyry,PY,2022-02-06 15:36:13,-24.9333,-55.2167,84.42,31,7,6.06
1,Bluff,NZ,2022-02-06 15:36:13,-46.6,168.3333,41.81,78,0,5.39
2,Mataura,NZ,2022-02-06 15:36:13,-46.1927,168.8643,41.49,99,1,2.04
3,Vardo,NO,2022-02-06 15:36:14,70.3705,31.1107,25.0,78,67,20.92
4,Elban,RU,2022-02-06 15:36:14,50.1018,136.5094,-12.42,100,96,2.3
5,Ushuaia,AR,2022-02-06 15:31:29,-54.8,-68.3,53.26,54,40,3.44
6,Albany,US,2022-02-06 15:36:14,42.6001,-73.9662,20.68,57,17,1.99
7,Te Anau,NZ,2022-02-06 15:36:15,-45.4167,167.7167,39.97,93,2,1.59
8,Port Alfred,ZA,2022-02-06 15:36:15,-33.5906,26.891,77.52,78,0,31.41
9,Puerto Ayora,EC,2022-02-06 15:36:15,-0.7393,-90.3518,80.56,88,70,4.0
10,Ketchikan,US,2022-02-06 15:36:16,55.3422,-131.6461,45.07,93,100,16.11
11,Moose Factory,CA,2022-02-06 15:36:16,51.2585,-80.6094,1.38,78,100,5.75
12,Oxford,GB,2022-02-06 15:33:18,51.7522,-1.256,51.49,74,40,3.0
13,Wuxi,CN,2022-02-06 15:36:17,31.5689,120.2886,38.98,57,100,8.41
14,Atuona,PF,2022-02-06 15:36:17,-9.8,-139.0333,78.42,75,11,19.8
15,Hovd,MN,2022-02-06 15:36:17,48.0056,91.6419,-12.82,79,10,3.4
16,Clyde River,CA,2022-02-06 15:36:17,70.4692,-68.5914,-34.37,67,0,6.91
17,Constitucion,CL,2022-02-06 15:36:18,-35.3333,-72.4167,73.13,51,2,6.04
18,Boyolangu,ID,2022-02-06 15:36:18,-8.1181,111.8935,74.95,97,100,5.1
19,Cesis,LV,2022-02-06 15:36:18,57.3119,25.2746,32.74,97,100,12.28
20,Lagoa,PT,2022-02-06 15:36:19,39.05,-27.9833,60.39,80,0,9.95
21,Maniitsoq,GL,2022-02-06 15:36:19,65.4167,-52.9,3.65,79,100,15.03
22,Bredasdorp,ZA,2022-02-06 15:34:13,-34.5322,20.0403,79.92,54,31,12.66
23,Cockburn Town,TC,2022-02-06 15:31:25,21.4612,-71.1419,80.56,47,40,13.8
24,Ilulissat,GL,2022-02-06 15:33:32,69.2167,-51.1,-0.38,46,100,3.44
25,Giddarbaha,IN,2022-02-06 15:36:20,30.2,74.6667,54.34,67,5,8.01
26,Kahului,US,2022-02-06 15:36:20,20.8947,-156.47,72.84,80,0,11.5
